"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","TokenValue","USDValueDayOfTx","ContractAddress","TokenName","TokenSymbol"
"0xbcb22b902dfd1190e1eaffe84387c20e4e06c4f06c989a2bae9d43570e30a2ff","14077692","1643152444","2022-01-25 23:14:04","0xadedf8afb7bbc94caaf1dac6aaf1e7d67d758d05","0xad41bd1cf3fd753017ef5c0da8df31a3074ea1ea","10","$10.03","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x2832d8a92c3467301962885584c269c236dcb6fd1b5f352014504857b482d411","14077722","1643152879","2022-01-25 23:21:19","0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2","0xad41bd1cf3fd753017ef5c0da8df31a3074ea1ea","10","$10.03","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x1377ecffad1db76188a07da6e3a5cb8b0f769d19b0e133fd696cef6fbdee7ed6","14077731","1643153010","2022-01-25 23:23:30","0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2","0xad41bd1cf3fd753017ef5c0da8df31a3074ea1ea","10","$10.03","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x73ed4a258c9fe1ac4ea85b3847ba3b7b19d3e7a41293da629d95063a36077e0f","14077942","1643155817","2022-01-26 00:10:17","0x2c75f263394cf51f99e31965d4c08ab72876e595","0xad41bd1cf3fd753017ef5c0da8df31a3074ea1ea","19,999,998","$20,029,452.79","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x1ebf4268644090d53890f04fe9d85743e74a65a924914fde8a36e8f7820f1ab8","14078463","1643162366","2022-01-26 01:59:26","0x503828976d22510aad0201ac7ec88293211d23da","0xad41bd1cf3fd753017ef5c0da8df31a3074ea1ea","6.9","$6.91","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x122977e51e3ae4027ce2c1ec19addb7c0d284c53cac4b3531356368634174c5c","14079020","1643170082","2022-01-26 04:08:02","0x82ac5170a837f6554d518c71c0590723437e6b64","0xad41bd1cf3fd753017ef5c0da8df31a3074ea1ea","20","$20.03","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x5ea1371139e1c167fc8c9769c49664398dda478c13e9c3653c8881c46864370f","14079561","1643177307","2022-01-26 06:08:27","0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2","0xad41bd1cf3fd753017ef5c0da8df31a3074ea1ea","1","$1.00","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x1f7c782cc0cfb624d24a9231d7282a8b592b051668c70ff4f16a7ccb763105da","14080202","1643186301","2022-01-26 08:38:21","0x61072ce65d11e36b00b97e8ffc06c6a864da2957","0xad41bd1cf3fd753017ef5c0da8df31a3074ea1ea","19,999,999","$20,029,453.79","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x7e3307f9abda9171b2e2e3e05621e6e556176600ce16e011a809b7e8fbed4a3c","14081155","1643199083","2022-01-26 12:11:23","0x82ac5170a837f6554d518c71c0590723437e6b64","0xad41bd1cf3fd753017ef5c0da8df31a3074ea1ea","75,120,000","$75,230,632.19","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0xeac49c75045a0f36f9d22dd1ff377d38d63702110b303a660b27a79bb29ded48","14081156","1643199093","2022-01-26 12:11:33","0x4862733b5fddfd35f35ea8ccf08f5045e57388b3","0xad41bd1cf3fd753017ef5c0da8df31a3074ea1ea","114,879,980","$115,049,168.28","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
