snapped_at,price,market_cap,total_volume
2022-04-01 00:00:00 UTC,103.26333357819652,0.0,36320492.36866815
2022-04-02 00:00:00 UTC,105.78257474235119,0.0,34419677.74857337
2022-04-03 00:00:00 UTC,115.03561090826186,0.0,52797150.12679099
2022-04-04 00:00:00 UTC,112.82939069583838,0.0,32235797.69487
2022-04-05 00:00:00 UTC,116.53421231240111,0.0,41472121.082261175
2022-04-06 00:00:00 UTC,116.25091349401819,0.0,44693524.691512056
2022-04-07 00:00:00 UTC,107.45959551681352,0.0,63531950.951872215
2022-04-08 00:00:00 UTC,103.36026784174177,0.0,45241490.70201686
2022-04-09 00:00:00 UTC,94.63731793025177,0.0,52055280.76032379
2022-04-10 00:00:00 UTC,96.93874612483683,0.0,30588972.66011389
2022-04-11 00:00:00 UTC,92.44713810487023,0.0,16128987.326115686
2022-04-12 00:00:00 UTC,82.40871147196071,0.0,47724868.18731254
2022-04-13 00:00:00 UTC,84.59163313328347,0.0,29496039.911869638
2022-04-14 00:00:00 UTC,87.72089150116388,0.0,27982364.47357464
2022-04-15 00:00:00 UTC,81.51936786514744,0.0,35446216.49407059
2022-04-16 00:00:00 UTC,80.21992125972955,0.0,13465483.599095954
2022-04-17 00:00:00 UTC,80.91141583470319,0.0,5305469.971631707
2022-04-18 00:00:00 UTC,77.45200320811384,0.0,12120457.94365416
2022-04-19 00:00:00 UTC,91.1772702482753,0.0,48597733.85011709
2022-04-20 00:00:00 UTC,95.65428964271544,0.0,32901734.570162565
2022-04-21 00:00:00 UTC,94.77554511167156,0.0,24688291.648413002
2022-04-22 00:00:00 UTC,90.72295800031156,0.0,37703601.04232978
2022-04-23 00:00:00 UTC,93.63616813229191,0.0,33700813.28084742
2022-04-24 00:00:00 UTC,89.49429923036054,0.0,12375969.26181791
2022-04-25 00:00:00 UTC,90.35320995388587,0.0,9736031.575620718
2022-04-26 00:00:00 UTC,97.10914341813867,0.0,37028439.736424975
2022-04-27 00:00:00 UTC,88.41347726945656,0.0,30972719.338506773
2022-04-28 00:00:00 UTC,89.102235674351,0.0,16237076.250113267
2022-04-29 00:00:00 UTC,88.65197824701268,0.0,19171250.668941926
2022-04-30 00:00:00 UTC,84.8353457112959,0.0,19990611.745971896
2022-05-01 00:00:00 UTC,78.28539596671519,0.0,27903252.445885904
2022-05-02 00:00:00 UTC,82.20176713438873,0.0,17431718.32288007
2022-05-03 00:00:00 UTC,84.36353149508675,0.0,20295193.642211054
2022-05-04 00:00:00 UTC,82.6090244761296,0.0,11996093.743654143
2022-05-05 00:00:00 UTC,86.05173021222438,0.0,23776991.570055224
2022-05-06 00:00:00 UTC,82.60330987508874,0.0,26428525.822467465
2022-05-07 00:00:00 UTC,77.50111857852458,0.0,15832397.169215458
2022-05-08 00:00:00 UTC,68.93104301514255,0.0,29349843.802857146
2022-05-09 00:00:00 UTC,63.537211655732165,0.0,64668833.54354215
2022-05-10 00:00:00 UTC,35.218909996505204,0.0,109531901.34238334
2022-05-11 00:00:00 UTC,17.34320691142436,0.0,202886076.11669666
2022-05-12 00:00:00 UTC,1.1190823919990622,0.0,117142464.3421836
2022-05-13 00:00:00 UTC,0.015724444926123675,0.0,15285527.798564438
2022-05-14 00:00:00 UTC,8.082915159401799e-05,0.0,105490728.96350603
2022-05-15 00:00:00 UTC,0.0009843946000742366,0.0,5297.870282543309
2022-05-16 00:00:00 UTC,0.0002023988519151265,0.0,137376049.1019819
2022-05-17 00:00:00 UTC,0.000192380028413905,0.0,171422916.3476264
2022-05-18 00:00:00 UTC,0.00018635857759161724,0.0,94780029.9297068
2022-05-19 00:00:00 UTC,0.0001451997139902898,0.0,57105453.83563741
2022-05-20 00:00:00 UTC,0.0001331118596810765,0.0,47379327.007160515
2022-05-21 00:00:00 UTC,0.00012076086909231008,0.0,26008348.45578491
2022-05-22 00:00:00 UTC,0.00012742811293227495,0.0,49495094.32199432
2022-05-23 00:00:00 UTC,0.0001899507348655864,0.0,134009825.93446192
2022-05-24 00:00:00 UTC,0.00016139024045517977,0.0,71301035.01752573
2022-05-25 00:00:00 UTC,0.0001726480216357349,0.0,39275041.448748246
2022-05-26 00:00:00 UTC,0.00018003617584796817,0.0,51969939.97405409
2022-05-27 00:00:00 UTC,0.00012945123469857773,0.0,42310239.50255673
2022-05-28 00:00:00 UTC,0.0001198304412788399,0.0,248400.91693131538
2022-05-29 00:00:00 UTC,9.048927630768384e-05,0.0,401950.1919280384
2022-05-30 00:00:00 UTC,9.971370785318225e-05,0.0,250072.28778784146
2022-05-31 00:00:00 UTC,0.00012584372347475967,0.0,336102.7223853024
