snapped_at,price,market_cap,total_volume
2022-04-01 00:00:00 UTC,0.9910440742389817,0.0,17533224.05823521
2022-04-02 00:00:00 UTC,0.998410321046443,0.0,9867412.530358726
2022-04-03 00:00:00 UTC,1.0029215690894113,0.0,12025644.787679464
2022-04-04 00:00:00 UTC,0.9993777700220531,0.0,8461140.248388102
2022-04-05 00:00:00 UTC,0.9947560103349764,0.0,11950127.959386513
2022-04-06 00:00:00 UTC,0.9974280469904137,0.0,9269466.146347119
2022-04-07 00:00:00 UTC,0.9961869181192821,0.0,13055635.225081323
2022-04-08 00:00:00 UTC,0.9993989580543936,0.0,8440566.111139467
2022-04-09 00:00:00 UTC,0.9981086316695746,0.0,8454001.100239066
2022-04-10 00:00:00 UTC,1.003897795959343,0.0,3351801.7688905
2022-04-11 00:00:00 UTC,0.9963612837034674,0.0,4124087.4205638533
2022-04-12 00:00:00 UTC,1.0010645906691635,0.0,8306313.589975919
2022-04-13 00:00:00 UTC,1.008429063692811,0.0,5941838.332236212
2022-04-14 00:00:00 UTC,1.0047212478947063,0.0,4002817.822725454
2022-04-15 00:00:00 UTC,1.003327950975482,0.0,5363850.84633105
2022-04-16 00:00:00 UTC,1.0049961881369909,0.0,4082955.2590498277
2022-04-17 00:00:00 UTC,1.0004384370709887,0.0,2823606.8978957413
2022-04-18 00:00:00 UTC,0.9994397609486351,0.0,2189685.8290016227
2022-04-19 00:00:00 UTC,1.0024087894340787,0.0,5779899.748052086
2022-04-20 00:00:00 UTC,1.004406201332517,0.0,5381312.042153432
2022-04-21 00:00:00 UTC,1.0022319169114398,0.0,4984469.637412293
2022-04-22 00:00:00 UTC,0.9991067615441622,0.0,6151101.06063725
2022-04-23 00:00:00 UTC,0.9906283536859273,0.0,4786417.187457436
2022-04-24 00:00:00 UTC,0.9794743778041712,0.0,3240222.7425887827
2022-04-25 00:00:00 UTC,0.9984560242643151,0.0,2949007.5720188916
2022-04-26 00:00:00 UTC,0.9970850821997321,0.0,6067503.20110745
2022-04-27 00:00:00 UTC,0.9774890508842963,0.0,5337832.747050862
2022-04-28 00:00:00 UTC,0.9842306440256706,0.0,4705962.83464026
2022-04-29 00:00:00 UTC,0.9887134612396407,0.0,5255378.68806842
2022-04-30 00:00:00 UTC,0.9798474454965739,0.0,5718482.549738645
2022-05-01 00:00:00 UTC,0.9904056934737906,0.0,9175655.163415885
2022-05-02 00:00:00 UTC,1.0002641194759263,0.0,6704974.5478977775
2022-05-03 00:00:00 UTC,0.9779556319605113,0.0,5009046.197377464
2022-05-04 00:00:00 UTC,0.9707778795043956,0.0,4173312.241383249
2022-05-05 00:00:00 UTC,0.9911073545987009,0.0,6158243.591863563
2022-05-06 00:00:00 UTC,0.968081872163482,0.0,5507608.389384695
2022-05-07 00:00:00 UTC,0.9571836785215191,0.0,4203426.724119595
2022-05-08 00:00:00 UTC,0.9838199226193641,0.0,15361962.152603127
2022-05-09 00:00:00 UTC,0.9889360279085394,0.0,16188705.293491231
2022-05-10 00:00:00 UTC,0.810440319322544,0.0,46404912.854520775
2022-05-11 00:00:00 UTC,0.7883229507994404,0.0,55246156.129431896
2022-05-12 00:00:00 UTC,0.8049168709687475,0.0,122997929.98043089
2022-05-13 00:00:00 UTC,0.432005716605046,0.0,47698125.52415059
2022-05-14 00:00:00 UTC,0.1217889283773587,0.0,24021683.21078261
2022-05-15 00:00:00 UTC,0.18575120424194597,0.0,14235621.780565958
2022-05-16 00:00:00 UTC,0.1535744063562064,0.0,24141644.789211303
2022-05-17 00:00:00 UTC,0.09714417713095017,0.0,21945782.80415307
2022-05-18 00:00:00 UTC,0.08987730694465762,0.0,6764355.100921416
2022-05-19 00:00:00 UTC,0.09227528721747297,0.0,7244846.497274638
2022-05-20 00:00:00 UTC,0.07507631867575981,0.0,3735623.1098363637
2022-05-21 00:00:00 UTC,0.06561453298973308,0.0,6739417.283910704
2022-05-22 00:00:00 UTC,0.05611323238015353,0.0,1568086.9432692411
2022-05-23 00:00:00 UTC,0.06447402148765097,0.0,3019635.449972335
2022-05-24 00:00:00 UTC,0.06844875718460484,0.0,5888137.417657002
2022-05-25 00:00:00 UTC,0.06915640946261312,0.0,1108382.4186525224
2022-05-26 00:00:00 UTC,0.09245168883899911,0.0,5109926.42516965
2022-05-27 00:00:00 UTC,0.04396313280599439,0.0,10145749.121417861
2022-05-28 00:00:00 UTC,0.03498535957900119,0.0,3831206.715345892
2022-05-29 00:00:00 UTC,0.0224849616465408,0.0,2706847.3872937867
2022-05-30 00:00:00 UTC,0.0264046692724393,0.0,1453558.2975578513
2022-05-31 00:00:00 UTC,0.02507074852241292,0.0,1554666.7535630127
