snapped_at,price,market_cap,total_volume
2021-01-12 00:00:00 UTC,0.7582637175704791,0.0,824720.9420526735
2021-01-13 00:00:00 UTC,0.7582637175704791,0.0,824720.9420526735
2021-01-14 00:00:00 UTC,0.8383130531571006,0.0,743626.0884655879
2021-01-15 00:00:00 UTC,0.8388633387154634,0.0,598263.5384792255
2021-01-16 00:00:00 UTC,0.8016873029508657,0.0,435155.6366861678
2021-01-17 00:00:00 UTC,0.7764238206915707,0.0,291266.02327165374
2021-01-18 00:00:00 UTC,0.7966163131413395,0.0,501610.56969097065
2021-01-19 00:00:00 UTC,0.8213721171155163,0.0,137676.24932050242
2021-01-20 00:00:00 UTC,0.9275138751742644,0.0,1628496.5521883548
2021-01-21 00:00:00 UTC,0.9203305880009321,0.0,400191.5181028797
2021-01-22 00:00:00 UTC,0.8069238211624049,0.0,571275.427999313
2021-01-23 00:00:00 UTC,0.827984064868492,0.0,733304.1524841366
2021-01-24 00:00:00 UTC,0.868349973589056,0.0,430097.56995859125
2021-01-25 00:00:00 UTC,0.9023188800544498,0.0,432309.28271882184
2021-01-26 00:00:00 UTC,0.8917345427901278,0.0,564188.8352861189
2021-01-27 00:00:00 UTC,1.2699011899664023,0.0,4000304.8163332185
2021-01-28 00:00:00 UTC,1.1474810747913482,0.0,1640362.9935885353
2021-01-29 00:00:00 UTC,1.4594414040370816,0.0,3645786.220463826
2021-01-30 00:00:00 UTC,1.470217897180361,0.0,1695551.8574241425
2021-01-31 00:00:00 UTC,1.4331176785988449,0.0,1353442.0026571867
2021-02-01 00:00:00 UTC,1.4629336540787437,0.0,1179549.015958098
2021-02-02 00:00:00 UTC,1.831442192304226,0.0,2340101.4897235315
2021-02-03 00:00:00 UTC,2.262788585736766,0.0,2447381.7971333098
2021-02-04 00:00:00 UTC,2.139147359888891,0.0,1799155.5989226156
2021-02-05 00:00:00 UTC,2.5780058631682055,0.0,1819005.297895993
2021-02-06 00:00:00 UTC,2.9873710081561686,0.0,1625786.8962246089
2021-02-07 00:00:00 UTC,2.693529898769028,0.0,644739.7133289097
2021-02-08 00:00:00 UTC,3.1773588974546683,0.0,1728717.3908246548
2021-02-09 00:00:00 UTC,5.800681265135911,0.0,5088763.6190809375
2021-02-10 00:00:00 UTC,6.699276500806572,0.0,4766910.47701367
2021-02-11 00:00:00 UTC,6.1867591245264775,0.0,3345209.2437630226
2021-02-12 00:00:00 UTC,5.520505917719158,0.0,2750119.1543684136
2021-02-13 00:00:00 UTC,5.839418889834878,0.0,2939965.1101387716
2021-02-14 00:00:00 UTC,5.677242752663228,0.0,1751582.5389298778
2021-02-15 00:00:00 UTC,5.752521231980588,0.0,3269542.4501445317
2021-02-16 00:00:00 UTC,5.501488153727756,0.0,3073193.7162383036
2021-02-17 00:00:00 UTC,6.493132788435427,0.0,3548078.490175951
2021-02-18 00:00:00 UTC,7.350349192041637,0.0,4890772.250759169
2021-02-19 00:00:00 UTC,6.859006296735165,0.0,2348788.2637569383
2021-02-20 00:00:00 UTC,6.31502627338124,0.0,2309210.676554902
2021-02-21 00:00:00 UTC,6.071172619140571,0.0,1984656.1939825201
2021-02-22 00:00:00 UTC,6.2260257796895075,0.0,1934207.8674920993
2021-02-23 00:00:00 UTC,7.1576857434206405,0.0,9397576.508943351
2021-02-24 00:00:00 UTC,6.613439423961317,0.0,5628273.106360443
2021-02-25 00:00:00 UTC,6.717122784958062,0.0,5212116.595104595
2021-02-26 00:00:00 UTC,6.134836777511013,0.0,2408102.2077708663
2021-02-27 00:00:00 UTC,5.81212735406086,0.0,3004303.505548759
2021-02-28 00:00:00 UTC,6.034598291466178,0.0,1832391.6723417987
2021-03-01 00:00:00 UTC,5.37943016422685,0.0,2693095.445115589
2021-03-02 00:00:00 UTC,6.761188219273825,0.0,4198805.117199025
2021-03-03 00:00:00 UTC,6.54827883869796,0.0,1835961.2933830016
2021-03-04 00:00:00 UTC,7.3009911205388995,0.0,5804996.006143345
2021-03-05 00:00:00 UTC,7.489536578475243,0.0,5362210.425648924
2021-03-06 00:00:00 UTC,8.64754513508159,0.0,5095942.434331297
2021-03-07 00:00:00 UTC,8.216215459300855,0.0,3192890.9525008644
2021-03-08 00:00:00 UTC,8.119952622158689,0.0,2049075.7296705933
2021-03-09 00:00:00 UTC,9.621264580594685,0.0,4445684.862764462
2021-03-10 00:00:00 UTC,11.697246488528624,0.0,10761939.029570658
2021-03-11 00:00:00 UTC,11.141785668310717,0.0,4099187.092777869
2021-03-12 00:00:00 UTC,10.821993349922023,0.0,3997318.5355338333
2021-03-13 00:00:00 UTC,14.0462310651529,0.0,8864381.237920528
2021-03-14 00:00:00 UTC,14.614922225339594,0.0,5551773.259884329
2021-03-15 00:00:00 UTC,16.064113057470692,0.0,7688874.059060559
2021-03-16 00:00:00 UTC,16.496957635813324,0.0,5357752.62153527
2021-03-17 00:00:00 UTC,20.2739139721187,0.0,15840013.950554404
2021-03-18 00:00:00 UTC,18.528709313667434,0.0,10654696.627868973
2021-03-19 00:00:00 UTC,19.201403847887413,0.0,6316934.809069664
2021-03-20 00:00:00 UTC,20.239028546598327,0.0,7446381.930197281
2021-03-21 00:00:00 UTC,20.86730056823651,0.0,2908969.0042935633
2021-03-22 00:00:00 UTC,22.272052141211766,0.0,3744369.1112715923
2021-03-23 00:00:00 UTC,19.555041990827412,0.0,6116814.2663331535
2021-03-24 00:00:00 UTC,17.039435402501024,0.0,6019888.110233462
2021-03-25 00:00:00 UTC,16.81551248463937,0.0,8399230.910080608
