blockNumber,data
14612242,168.499861
14612248,136.0
14612272,23.04
14612293,2.86897
14612339,2.86897
14612365,0.1
14612371,1.0221171886217706
14612371,1.0221171886217706
14612374,22.191495318026004
14612374,21.969101338577165
14612380,13.463826
14612396,1.3566037324837303
14612396,1.3566037324837303
14612402,232.33041500804524
14612415,0.827426
14612423,24.44859477266687
14612431,0.452057
14612431,14.078
14612445,2.6970216275074335
14612471,0.1
14612474,8.428
14612497,0.13
14612500,201.7216806331009
14612507,245.42409186529363
14612508,1.0
14612508,81.85092218
14612521,4.164879
14612523,5.0
14612533,325.0
14612544,77.04824
14612552,0.028
14612564,300.0
14612575,8.5
14612579,17.0
14612598,5.0
14612604,100.0
14612608,17.0
14612608,30.000000006906877
14612608,89.98
14612620,607.0
14612629,0.1
14612641,1000.0
14612645,1.0
14612648,3.360768982663153
14612648,3.360768982663153
14612653,1.0
14612662,628.5243
14612662,628.5243
14612662,1000.295
14612667,4.0
14612670,2468.93475852
14612674,1.0221171886217706
14612674,1.0221171886217706
14612681,332.5766025727266
14612692,11.0
14612708,2468.9346780850483
14612714,1.3325477157570864
14612714,1.3325477157570864
14612751,0.13
14612762,2.0
14612768,1.332547
14612780,25.0
14612806,11.917561
14612816,6.703845576251002
14612817,13.0
14612818,12.917561
14612826,0.0303424122
14612826,3.0038988078
14612826,3.0038988078
14612860,4930.94208967
14612887,2.0
14612888,1.0
14612888,43.0
14612889,1.8215009648383722
14612889,1.8215009648383722
14612889,1.6984739592018638
14612889,1.6984739592018638
14612892,169.216368
14612895,2.3234917642117447
14612895,2.3234917642117447
14612903,4.021965
14612913,1973.196124
14612923,1975.196124
14612925,20.8304585
14612946,18186.72846956
14612947,19.83400059
14612956,494.82232557
14612970,75.890575
14613000,334.72318088
14613024,5.5146521742108225
14613024,5.5146521742108225
14613040,334.723181
14613052,26.109741254649716
14613061,11.96
14613081,26.109741
14613083,12.007946
14613091,131.945
14613104,25.0
14613108,0.132
14613115,139.49578621
14613115,32.02445138
14613119,769.855833
14613136,12.007946
14613137,23.04
14613139,21.95895562968305
14613143,87.890575
14613145,44.0
14613155,0.06257001493321064
14613155,6.194431478387853
14613155,6.194431478387853
14613159,1.0
14613183,1.0
14613184,130.945
14613201,6.989988439495472
14613201,6.989988439495472
14613218,48.824
14613228,210.02080175564825
14613228,100.00000626118307
14613228,24.00000150268394
14613228,76.00000475849914
14613228,209.8341512744831
14613272,0.25711
14613342,3.899
14613349,0.25
14613359,112.8100635655419
14613384,0.1
14613462,0.14389021265310178
14613462,14.245131052657076
14613462,14.245131052657076
14613462,55.71341022
14613465,445.24137413
14613467,2.0
14613478,500.954784
14613488,0.031
14613507,109.73937934375
14613507,109.73937934375
14613508,4.0
14613514,109.73938
14613515,4791.44376
14613520,10.154847016677572
14613540,4791.44376
14613545,215.8234901
14613585,1.2052332149470324
14613592,8767.6
14613598,8767.6
14613665,13.911887573532155
14613665,13.911887573532155
14613676,0.055103812869703
14613676,5.455277474100597
14613676,5.455277474100597
14613722,1.0
14613736,13.911888
14613753,1.0
14613771,46.878271
14613783,2.11151432662627
14613783,2.11151432662627
14613808,2.111514
14613844,0.6142129106181272
14613844,0.6142129106181272
14613867,215.8234901
14613901,4738.9606541
14613927,2843.0
14613934,1439.058162
14613941,1439.058162
14613960,1.9393957305283134
14613960,1.9393957305283134
14614011,204.85252227785352
14614012,204.85252227785352
14614036,237.41859576979695
14614036,25.384351
14614037,16.891891891891888
14614042,236.06157565970202
14614042,2.211996935423754
14614042,2.211996935423754
14614071,0.05
14614101,25.1
14614101,25.384351
14614162,2.211996935423754
14614180,0.988799
14614198,0.988799
14614214,7581.9606541
14614225,39.555537
14614237,39.555537
14614268,0.774115
14614274,25.1
14614292,0.15
14614308,4.10517736099598
14614308,15.905384477779043
14614345,1.0
14614394,1.988799
14614402,0.5
14614411,2.0
14614418,11.166347768252738
14614421,0.5
14614445,10.940693
14614453,1039.959
14614465,1.0
14614470,185.12382196600115
14614477,1.0
14614501,12009.444259204645
14614501,12009.444259204645
14614507,1040.447799
14614509,12009.444259204645
14614509,12009.444259204645
14614521,1040.447799
14614531,5367.003098294871
14614560,2.05
14614601,4590.83907261
14614619,2.79829
14614742,2.79829
14614862,0.25
14614869,9.441714884513855
14614869,9.441714884513855
14614879,115.21774014797921
14614883,11.012888502000001
14614883,11.012888502000001
14614945,127.01712885311495
14614951,4590.83907261
14614952,3.444807
14614957,36.44740436575069
14614974,2.95739
14614974,2.95739
14614996,15.905384477779043
14615000,384.7189163605107
14615006,1.79390952
14615022,2.05750733
14615050,89.41769232893628
14615112,7.390190510264233
14615117,7.658755249988738
14615117,7.658755249988738
14615131,219.97765840672284
14615133,170.95969779976727
14615134,68.78261689829202
14615137,22.486561293443437
14615144,328.72715100455093
14615155,3.687372712253643
14615186,77.26808121952632
14615186,77.26808121952632
14615199,500.41902311
14615211,77.26808121952632
14615224,32.776188392722055
14615250,32.776188392722055
14615252,119.828
14615261,4742.95652379
14615268,1.0
14615297,50.0
14615298,1.036253
14615298,1.0
14615329,68.828
14615378,15137.6
14615379,87.793632
14615391,15137.6
14615414,2778.0
14615434,28.31416442447881
14615434,28.31416442447881
14615441,77.268081
14615445,1.2221312891242275
14615445,1.2221312891242275
14615462,10.532
14615470,6.527601196210279
14615470,6.527601196210279
14615471,30.0
14615480,6.527601
14615489,46.0
14615496,47.22213128912423
14615537,1.13
14615555,20.039769660647778
14615566,25.0
14615592,0.6770215105961648
14615592,0.6770215105961648
14615622,2822.0
14615628,1.18132
14615650,10.0
14615671,30.0
14615671,1.661704082425569
14615695,27.793632
14615728,100.0
14615732,20.0
14615751,20.0
14615789,1.711374
14615791,190.4553317
14615829,325.0
14615849,10.0
14615851,10.0
14615860,32.89991278186863
14615866,2991.0
14615867,332.54303454984455
14615870,809.5783892015755
14615875,6500.0
14615881,6500.0
14615883,1.0112924459786747
